Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,HSI AGG,HSI Interface,BNG,BNG Port,HSI VSI,SIP IP,SIP AGG,SIP Interface,SIP VSI
SLZ,BCR_136_GPONA_01,BCR-136-SL1246-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),1867,"1910
3852",798,400,-,-,10.175.52.4,10.81.22.12,100.89.116.0/22,100.118.21.0/24,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,"100.86.112.0/20
100.82.240.0/20
100.82.240.0/20","BACOOR-FMAGG-002-SL565
BACOOR-FMAGG-002-SL565
BACOOR-SL565-AGGFMN-X16A-02","VE1/0/0.1910
VE1/0/0.3852
VE10/0/0.3852","SIP-70001910
SIP-70003852
SIP-70003852"
SLZ,BCR_136_GPONA_02,BCR-136-SL1246-ATN910C-01,Eth-Trunk4||GE0/2/5(10G),3985,3973,798,400,-,-,10.175.52.4,10.81.22.12,10.110.128.0/20,10.74.80.0/22,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,10.79.128.0/18,BACOOR-FMAGG-001-SL565,VE1/0/0.3973,SIP-70003973
SLZ,BCR_137_GPONA_01,BCR_137_TDCAN_910CG_01_SL2610,Eth-Trunk4||GE0/2/4(10G),3985,3973,798,400,-,-,10.81.22.12,10.175.52.4,10.98.56.0/21,10.101.70.0/23,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,10.79.128.0/18,BACOOR-FMAGG-001-SL565,VE1/0/0.3973,SIP-70003973
SLZ,BCR_137_VDB_01,BCR_137_TDCAN_910CG_01_SL2610,Eth-Trunk3||GE0/2/18|GE0/2/19,1722,1723,1762,400,-,-,10.81.22.12,10.175.52.4,100.92.124.0/24,100.119.25.0/26,GENTRIAS-SL2807-AGGFMN-X16A-01,100GE2/0/0.1762,GTS_BNG-001,ET-5/1/0,HSI-1762,10.17.108.0/22,BACOOR-FMAGG-001-SL565,VE1/0/0.1723,SIP-1723
SLZ,BCR_138_GPONA_01,BCR-138-SL2611-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),1867,"1910
3852",798,400,-,-,10.175.52.4,10.81.22.12,100.89.36.0/22,100.118.1.0/24,CRMMSC-FMAGG-002-SL590,100GE1/1/16.798,CMO_CRM_BNG_001,ET-10/3/0,HSI-798,"100.86.112.0/20
100.82.240.0/20
100.82.240.0/20","BACOOR-FMAGG-002-SL565
BACOOR-FMAGG-002-SL565
BACOOR-SL565-AGGFMN-X16A-02","VE1/0/0.1910
VE1/0/0.3852
VE10/0/0.3852","SIP-70001910
SIP-70003852
SIP-70003852"
SLZ,BCR_139_VDB_01,BCR-139-SL2368-ATN910B-01,Eth-Trunk3||GE0/2/19|GE0/2/20,709,775,1745,400,-,-,10.81.22.49,10.81.22.12,100.92.64.0/19,100.119.13.64/26,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1745,CMO_CRM_BNG_001,ET-5/1/0,HSI-1745,100.110.200.0/21,CRMMSC-FMAGG-001-SL590,VE1/0/0.775,SIP-775
SLZ,BCR_140_GPONA_01,BCR-140-SL2555-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),1867,190,1745,400,-,-,10.81.22.49,10.81.22.12,100.88.144.0/22,100.117.219.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1745,CMO_CRM_BNG_001,ET-5/1/0,HSI-1745,100.115.104.0/21,BACOOR-FMAGG-002-SL565,VE1/0/0.190,SIP-190
SLZ,BCR_141_HYB_01,BCR-141-SL2602-ATN910C-01,Eth-Trunk4||GE0/2/4(10G),709,190,1745,400,-,-,10.81.22.49,10.81.22.12,10.59.56.0/21,10.82.126.0/23,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1745,CMO_CRM_BNG_001,ET-5/1/0,HSI-1745,100.115.104.0/21,BACOOR-FMAGG-002-SL565,VE1/0/0.190,SIP-190
SLZ,BCR_142_HYB_01,BCR_142_TDCAN_910CG_01_SL2482,Eth-Trunk3||GE0/2/4(10G),1732,773,1765,400,-,-,10.81.22.12,10.175.52.69,100.86.140.0/22,100.117.91.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1765,CMO_CRM_BNG_001,ET-5/1/0,HSI-1765,100.108.200.0/21,BACOOR-FMAGG-001-SL565,VE1/0/0.773,SIP-773
SLZ,BCR_143_GPONA_01,BCR-143-SL1259-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),1867,1910,1765,400,-,-,10.81.22.12,10.175.52.69,100.88.220.0/22,100.117.238.0/24,CRMMSC-FMAGG-001-SL590,100GE1/1/16.1765,CMO_CRM_BNG_001,ET-5/1/0,HSI-1765,100.86.112.0/20,BACOOR-FMAGG-002-SL565,VE1/0/0.1910,SIP-70001910
