Region,Node Name,Uplink,Uplink_NMS,Trunk,Trunk_NMS,OM,OM_NMS,SIP,SIP_NMS,HSI,HSI_NMS,IPOE,IPOE_NMS,SIGNALING,SIGNALING_NMS,MEDIA,MEDIA_NMS,Auth IP,Auth IP_NMS,UnAuth IP,UnAuth IP_NMS
NCR,MKT_811_VDA_01,-,VALERO-NCR733-AGGFN-X8-01,-,GigabitEthernet2/1/18,3101,N/A,,809,3133,"3130
3133",400,N/A,3131,,3132,,100.82.182.0/25,N/A,100.116.201.0/27,N/A
NCR,MND_121_HYB_01,ATN910B,MND_121_TDCAN_910CG_01_NCR2841,MND-121-NCR2841-ATN910C-01/ETH-TRUNK3-0/2/19&0/2/20,Eth-Trunk3||GE0/2/4(10G),1057,N/A,2161,N/A,1060,N/A,400,N/A,-,,-,,100.79.122.0/23,10.159.64.0/21,100.115.227.0/25,10.196.64.0/23
NCR,MND_706_HYB_01,ATN910B,MND_706_TDCAN_910CG_01_NCR1598,MND-706-NCR1598-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),1057,N/A,2161,N/A,1060,N/A,400,N/A,nan,,nan,,100.76.226.0/23,10.159.72.0/21,100.115.92.0/25,10.196.66.0/23
NCR,MNL_015_HYB_01,-,MNL_015_TDCAN_T910D_01_NCR7585,-,Eth-Trunk4||GE0/2/5(10G),1676,3076,2096,"2060
2096",1677,N/A,400,N/A,nan,,nan,,100.98.208.0/20,-,100.120.184.0/22,-
NCR,MNL_018_HYB_01,-,MNL_018_TDCAN_T910D_01_NCR8156,-,Eth-Trunk3||GE0/2/0(10G),3102,N/A,2090,3958,3303,N/A,400,N/A,nan,,nan,,100.93.160.0/22,-,100.120.248.0/24,-
NCR,MND_129_VDA_01,ATN910B,MND_129_TDCAN_910CG_01_NCR2329,MANDA-ATR2-MND129-ATN910C-01,GigabitEthernet0/2/17,1075,N/A,,3952,1078,N/A,400,N/A,1076,,1077,,100.82.155.128/25,N/A,100.116.194.96/27,N/A
NCR,MND_129_VDA_02,ATN910B,MND_129_TDCAN_910CG_01_NCR2329,MANDA-ATR2-MND129-ATN910C-01,GigabitEthernet0/2/18,1075,N/A,,3952,1078,N/A,400,N/A,1076,,1077,,100.82.40.0/24,N/A,100.116.170.192/26,N/A
NCR,MND_720_VDA_01,ATN910B,MND_720_TDCAN_910CG_01_NCR2208,MND-720-NCR2208-ATN910C-01,GigabitEthernet0/2/19,3102,N/A,,N/A,3212,"50
3212",400,N/A,3210,,3211,,100.81.14.0/24,N/A,100.116.99.64/26,N/A
NCR,MND_721_VDB_01,ATN910C,MND-721-NCR2342-ATN910C-01,MND-721-NCR2342-ATN910C-01,GigabitEthernet0/2/13,3058,N/A,3059,3405,710,N/A,400,N/A,nan,,nan,,100.83.6.192/26,N/A,100.116.225.240/28,N/A
NCR,MNL_007_VDA_01,ATN910D,MNL_007_TDCAN_T910D_01_NCR5096,"MNL_007_TDCAN_T910D_01_NCR5096
25GE0/2/12, Eth-Trunk4",Eth-Trunk4||25GE0/2/12(1G),3102,N/A,,2281,3677,N/A,400,-,3675,,3676,,100.93.152.0/21,-,100.120.196.0/23,-
NCR,MNL_601_VDA_01,ATN910B,MNL_601_TDCAN_01_910CG_NCR1431,MNL-601-NCR1431-ATN910C-01,GigabitEthernet0/2/16,3076,N/A,,2281,1629,N/A,400,N/A,1627,,1628,,100.81.15.0/24,N/A,100.116.110.64/26,N/A
NCR,MNL_732_HYB_01,ATN910C-B,MNL_732_TDCAN_910C_01_NCR2617,MNL-732-NCR2617-ATN910C-01,Eth-Trunk3||GE0/2/13|GE0/2/14,948,N/A,1963,N/A,1620,N/A,400,N/A,nan,,nan,,100.79.194.0/23,10.159.80.0/21,100.115.234.128/25,10.196.68.0/23
NCR,MNL_734_HYB_01,ATN910C-B,MNL_734_TDCAN_910C_01_NCR2319,MNL-734-NCR2319-ATN910C-01,Eth-Trunk3||GE0/2/6(10G),948,N/A,1963,N/A,1620,N/A,400,N/A,nan,,nan,,100.79.106.0/23,10.158.0.0/20,100.115.218.128/25,10.82.240.0/22
NCR,MRG_701_HYB_01,ATN910B,MRG_701_TDCAN_910CG_01_SL2712,MRG-701-SL2712-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),1606,-,1031,"1031
1606",1466,N/A,400,N/A,nan,,nan,,100.76.190.0/23,10.158.16.0/20,100.115.74.0/25,10.82.244.0/22
NCR,MRK_104_HYB_01,ATN910C-B,MRK_104_TDCAN_910C_01_NCR2685,MRK-104-NCR2685-ATN910C-01,Eth-Trunk3||GE0/2/13|GE0/2/14,951,N/A,1018,N/A,954,N/A,400,N/A,nan,,nan,,100.78.150.0/23,10.159.88.0/21,100.115.114.128/25,10.196.70.0/23
NCR,MRK_107_HYB_01,ATN910B,MRK_107_TDCAN_910CG_01_NCR1824,MRK-107-NCR1824-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),951,N/A,1018,N/A,954,N/A,400,N/A,nan,,nan,,100.77.202.0/23,10.159.96.0/21,100.115.166.0/25,10.196.72.0/23
NCR,MNL_742_VDA_01,ATN910B,MNL_742_TDCAN_910CG_01_NCR3349,MNL-742-NCR3349-ATN910C-01,GigabitEthernet0/2/19,3101,N/A,,1714,3157,N/A,400,N/A,3155,,3156,,100.82.175.128/25,N/A,100.116.199.96/27,N/A
NCR,MNL_748_VDA_01,-,MNL-748-NCR3186-ATN910C-01,-,Eth-Trunk3||GE0/2/11|GE0/2/12,3101,N/A,,"1145
2281",3160,"713
1623
3160",400,N/A,3158,,3159,,100.82.176.128/25,N/A,100.116.199.160/27,N/A
NCR,MNL_750_VDA_01,ATN910B,MNL-750-NCR3673-ATN910C-G-01,MNL-750-NCR3673-ATN910C-01,GigabitEthernet0/2/17,3072,N/A,,771,714,N/A,400,N/A,661,,662,,100.82.168.0/25,100.81.92.0/24,100.116.197.128/27,100.116.84.192/26
NCR,MRK_604_HYB_01,ATN910C-B,MRK_604_TDCAN_910C_01_NCR1834,MRK-604-NCR1834-ATN910C-01,Eth-Trunk2||GE0/2/13|GE0/2/14,981,3416,1959,"1151
1959",985,N/A,400,N/A,nan,,nan,,100.76.254.0/23,10.159.104.0/21,100.115.106.0/25,10.196.74.0/23
NCR,MUN_001_GPONA_01,-,MUN_001_TDCAN_T910D_01_NCR4692,-,Eth-Trunk3||GE0/2/5(10G),3101,N/A,"3258
3260
3261
3262
3263
3265","3258
3259
3260
3261
3262
3263
3265",3264,N/A,400,N/A,-,,-,,100.97.240.0/20,-,100.120.124.0/22,-
NCR,MUN_002_GPONA_01,-,MUN_002_TDCAN_T910D_01_NCR1332,-,Eth-Trunk3||GE0/2/5(10G),3101,N/A,"3265
3266
3268
3269
3270","3265
3266
3267
3268
3269
3270",3264,N/A,400,N/A,-,,-,,100.97.240.0/20,-,100.120.124.0/22,-
NCR,MUN_202_HYB_01,ATN910D,AVIDAALABANG_TDCAN_T950D_01_NCR3726 & FGU-NCR261-AGFN-X2-01,"AVIDAALABANG_TDCAN_T950D_01_NCR3726
GE0/4/0, Eth-trunk2",Eth-Trunk2||GE0/4/0(10G) & GigabitEthernet0/7/6,3072,N/A,1484,N/A,717,N/A,400,N/A,nan,,nan,,100.99.196.0/22,10.54.6.0/23,100.120.204.0/23,10.191.171.0/25
NCR,MUN_202_HYB_02,-,AVIDAALABANG_TDCAN_T950D_01_NCR3726,"AVIDAALABANG_TDCAN_T950D_01_NCR3726
GE0/4/1, Eth-trunk3",Eth-Trunk3||GE0/4/1(10G),3072,N/A,1484,N/A,717,N/A,400,N/A,nan,,nan,,100.99.196.0/22,10.53.212.0/22,100.120.204.0/23,10.191.157.0/24
NCR,PQE_001_GPONA_01,-,PQE_001_TDCAN_T910D_01_NCR4643,-,Eth-Trunk3||GE0/2/0(10G),3101,3279,"3292
3293",3280,3169,"3169
3292
3293",400,3101,-,,-,,10.137.128.0/20,-,10.108.144.0/21,-
NCR,PQE_006_HYB_01,-,PQE_006_TDCAN_T910D_01_NCR7600,-,Eth-Trunk3||GE0/2/4(10G),2898,N/A,2899,"2899
2900",2904,N/A,400,N/A,nan,,nan,,100.94.168.0/22,-,100.120.224.0/23,-
NCR,PQE_006_HYB_02,-,PQE_006_TDCAN_T910D_01_NCR7600,-,Eth-Trunk4||GE0/2/5(10G),2898,N/A,"2899
2900",N/A,2904,N/A,400,N/A,-,,-,,100.94.168.0/22,10.159.112.0/21,100.120.224.0/23,10.196.76.0/23
NCR,PQE_112_HYB_01,ATN910B,PQE_112_TDCAN_T910B_01_NCR1344,PQE-112-NCR1344-ATN910C-01/Eth-trunk3,Eth-Trunk3||GE0/2/21|GE0/2/22,3072,N/A,"898
1365",1365,1954,N/A,400,-,nan,,nan,,100.79.120.0/23,-,100.115.226.0/25,-
NCR,PQE_626_HYB_01,ATN910B,PQE-626-NCR1357-ATN910C-G-01,PQE-626-NCR1357-ATN910C-01,Eth-Trunk3||GE0/2/4(10G),3072,N/A,"1648
3975",1648,3349,N/A,400,N/A,3040,,3041,,100.78.26.0/23,10.158.48.0/20,100.115.173.128/25,10.82.252.0/22
NCR,MUN_106_VDA_01,ATN910B,MUN_106_TDCAN_910CG_01_NCR8,MUN-106-NCR8-ATN910C-01,GigabitEthernet0/2/16,3384,N/A,,811,3385,N/A,400,N/A,3386,,3387,,100.82.75.0/24,N/A,100.116.182.128/26,N/A
NCR,MUN_110_VDB_01,ATN910B,MUN_110_TDCAN_910B_01_NCR1330,MUN-110-NCR1330-ATN910C-01,Eth-Trunk3||GE0/2/19|GE0/2/20,2984,2986,2985,,2986,,400,N/A,nan,,nan,,100.83.10.128/26,N/A,100.116.221.16/28,N/A
NCR,PQE_720_HYB_01,ATN910B,PQE_720_TDCAN_910CG_01_NCR1358,PQE-720-NCR1358-ATN910C-01,Eth-Trunk6||GE0/2/4(10G),3072,N/A,"1552
2139",1552,715,N/A,400,N/A,nan,,nan,,100.77.216.0/23,N/A,100.115.173.0/25,N/A
